asset_id,asset_type,subtype,etf_code,ts_code,name_cn,name_en,exchange_code,exchange_name,country,currency,fund_company,fund_type,invest_type,tracking_index_code,tracking_index_name,underlying_group,nav_available,premium_discount_available,can_subscribe_redeem,creation_redemption_unit,pcfl_available,tradable,can_long,can_short,data_source_1,data_source_2,source_status,update_date,notes,etf_importance_level,etf_quality_status,etf_category_refined,underlying_group_review_required,underlying_group_review_reason,is_core_arbitrage_etf,is_etf_option_underlying,classification_method
ETF_SSE_510010,ETF,ETF,510010,510010.SH,180治理ETF交银,TODO,SSE,上海证券交易所,CN,CNY,交银施罗德基金,股票型,被动指数型,CHECK,上证180公司治理指数,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,OTHER_ETF,N,NOT_CORE_FOR_CURRENT_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SSE_510020,ETF,ETF,510020,510020.SH,超大盘ETF博时,TODO,SSE,上海证券交易所,CN,CNY,博时基金,股票型,被动指数型,CHECK,上证超级大盘指数,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,OTHER_ETF,N,NOT_CORE_FOR_CURRENT_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SSE_510030,ETF,ETF,510030,510030.SH,价值ETF华宝,TODO,SSE,上海证券交易所,CN,CNY,华宝基金,股票型,被动指数型,CHECK,上证180价值指数,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,OTHER_ETF,N,NOT_CORE_FOR_CURRENT_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SSE_510040,ETF,ETF,510040,510040.SH,上证180ETF鹏华,TODO,SSE,上海证券交易所,CN,CNY,鹏华基金,股票型,被动指数型,CHECK,上证180指数收益率,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,OTHER_ETF,N,NOT_CORE_FOR_CURRENT_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SSE_510050,ETF,BROAD_BASED_ETF,510050,510050.SH,上证50ETF华夏,TODO,SSE,上海证券交易所,CN,CNY,华夏基金,股票型,被动指数型,CHECK,上证50指数,SSE50,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,CORE,CORE_MAPPED,BROAD_BASED_ETF,N,,Y,Y,CORE_ETF_CODE_RULE;ETF_OPTION_UNDERLYING_RULE
ETF_SSE_510060,ETF,ETF,510060,510060.SH,央企ETF工银,TODO,SSE,上海证券交易所,CN,CNY,工银瑞信基金,股票型,被动指数型,CHECK,上证央企50指数,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,OTHER_ETF,N,NOT_CORE_FOR_CURRENT_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SSE_510070,ETF,ETF,510070,510070.SH,民企ETF(退市),TODO,SSE,上海证券交易所,CN,CNY,鹏华基金,股票型,被动指数型,CHECK,上证民营企业50指数,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,OTHER_ETF,N,NOT_CORE_FOR_CURRENT_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SSE_510090,ETF,ETF,510090,510090.SH,责任ETF建信,TODO,SSE,上海证券交易所,CN,CNY,建信基金,股票型,被动指数型,CHECK,上证社会责任指数,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,OTHER_ETF,N,NOT_CORE_FOR_CURRENT_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SSE_510100,ETF,BROAD_BASED_ETF,510100,510100.SH,上证50ETF易方达,TODO,SSE,上海证券交易所,CN,CNY,易方达基金,股票型,被动指数型,CHECK,上证50指数收益率,SSE50,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,IMPORTANT,MAPPED,BROAD_BASED_ETF,N,,N,N,NAME_KEYWORD_RULE
ETF_SSE_510110,ETF,ETF,510110,510110.SH,周期ETF(退市),TODO,SSE,上海证券交易所,CN,CNY,海富通基金,股票型,被动指数型,CHECK,上证周期行业50指数,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,OTHER_ETF,N,NOT_CORE_FOR_CURRENT_STAGE,N,N,NAME_KEYWORD_RULE
