asset_id,asset_type,subtype,index_code,ts_code,name_cn,name_en,exchange_code,exchange_name,publisher,category,market,country,currency,underlying_group,tradable,can_long,can_short,data_source_1,data_source_2,source_status,update_date,notes
INDEX_CHINEXT,INDEX,INDEX_SPOT,399006,399006.SZ,创业板指,TODO,SZSE,深圳证券交易所,深圳证券交易所,BROAD_BASED_INDEX,SZSE,CN,CNY,CHINEXT,N,N,N,Tushare,,INDEX_MASTER_TUSHARE_NEED_REVIEW,2026-05-22,核心指数来自 Tushare index_basic。
INDEX_CHINEXT50,INDEX,INDEX_SPOT,399673,399673.SZ,创业板50,TODO,SZSE,深圳证券交易所,深圳证券交易所,BROAD_BASED_INDEX,SZSE,CN,CNY,CHINEXT50,N,N,N,Tushare,,INDEX_MASTER_TUSHARE_NEED_REVIEW,2026-05-22,核心指数来自 Tushare index_basic。
INDEX_CHIP,INDEX,INDEX_SPOT,000685,000685.SH,科创芯片,TODO,SSE,上海证券交易所,CHECK,BROAD_BASED_INDEX,SSE,CN,CNY,CHIP,N,N,N,Tushare,,INDEX_MASTER_TUSHARE_NEED_REVIEW,2026-05-22,核心指数来自 Tushare index_basic。
INDEX_CSI1000,INDEX,INDEX_SPOT,000852,000852.SH,中证1000,TODO,SSE,上海证券交易所,中证指数有限公司,BROAD_BASED_INDEX,SSE,CN,CNY,CSI1000,N,N,N,Tushare,,INDEX_MASTER_TUSHARE_NEED_REVIEW,2026-05-22,核心指数来自 Tushare index_basic。
INDEX_CSI300,INDEX,INDEX_SPOT,000300,000300.SH,沪深300,TODO,SSE,上海证券交易所,中证指数有限公司,BROAD_BASED_INDEX,SSE,CN,CNY,CSI300,N,N,N,Tushare,,INDEX_MASTER_TUSHARE_NEED_REVIEW,2026-05-22,核心指数来自 Tushare index_basic。
INDEX_CSI500,INDEX,INDEX_SPOT,000905,000905.SH,中证500,TODO,SSE,上海证券交易所,中证指数有限公司,BROAD_BASED_INDEX,SSE,CN,CNY,CSI500,N,N,N,Tushare,,INDEX_MASTER_TUSHARE_NEED_REVIEW,2026-05-22,核心指数来自 Tushare index_basic。
INDEX_SSE50,INDEX,INDEX_SPOT,000016,000016.SH,上证50,TODO,SSE,上海证券交易所,上海证券交易所,BROAD_BASED_INDEX,SSE,CN,CNY,SSE50,N,N,N,Tushare,,INDEX_MASTER_TUSHARE_NEED_REVIEW,2026-05-22,核心指数来自 Tushare index_basic。
INDEX_SSE_DIVIDEND,INDEX,INDEX_SPOT,000015,000015.SH,红利指数,TODO,SSE,上海证券交易所,上海证券交易所,BROAD_BASED_INDEX,SSE,CN,CNY,SSE_DIVIDEND,N,N,N,Tushare,,INDEX_MASTER_TUSHARE_NEED_REVIEW,2026-05-22,核心指数来自 Tushare index_basic。
INDEX_STAR50,INDEX,INDEX_SPOT,000688,000688.SH,科创50,TODO,SSE,上海证券交易所,上海证券交易所,BROAD_BASED_INDEX,SSE,CN,CNY,STAR50,N,N,N,Tushare,,INDEX_MASTER_TUSHARE_NEED_REVIEW,2026-05-22,核心指数来自 Tushare index_basic。
INDEX_SZSE100,INDEX,INDEX_SPOT,399330,399330.SZ,深证100,TODO,SZSE,深圳证券交易所,深圳证券交易所,BROAD_BASED_INDEX,SZSE,CN,CNY,SZSE100,N,N,N,Tushare,,INDEX_MASTER_TUSHARE_NEED_REVIEW,2026-05-22,核心指数来自 Tushare index_basic。
