asset_id,symbol,name_cn,asset_type,subtype,exchange_code,underlying_group,underlying_name_cn,underlying_name_en,mapping_confidence,mapping_method,data_source_1,data_source_2,source_status,notes
FUT_CFFEX_IC,IC,中证500股指期货,FUTURE,INDEX_FUTURE,CFFEX,CSI500,中证500,CSI 500,HIGH,EXISTING_UNDERLYING_GROUP,Tushare,ExchangeOfficialWebsite,UNDERLYING_MAPPING_FIXED_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
FUT_CFFEX_IF,IF,沪深300股指期货,FUTURE,INDEX_FUTURE,CFFEX,CSI300,沪深300,CSI 300,HIGH,EXISTING_UNDERLYING_GROUP,Tushare,ExchangeOfficialWebsite,UNDERLYING_MAPPING_FIXED_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
FUT_CFFEX_IH,IH,上证50股指期货,FUTURE,INDEX_FUTURE,CFFEX,SSE50,上证50,SSE 50,HIGH,EXISTING_UNDERLYING_GROUP,Tushare,ExchangeOfficialWebsite,UNDERLYING_MAPPING_FIXED_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
FUT_CFFEX_IM,IM,中证1000股指期货,FUTURE,INDEX_FUTURE,CFFEX,CSI1000,中证1000,CSI 1000,HIGH,EXISTING_UNDERLYING_GROUP,Tushare,ExchangeOfficialWebsite,UNDERLYING_MAPPING_FIXED_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
FUT_CFFEX_T,T,10年期国债期货,FUTURE,TREASURY_FUTURE,CFFEX,CGB_10Y,10年期国债,10-year China Government Bond,HIGH,EXISTING_UNDERLYING_GROUP,Tushare,ExchangeOfficialWebsite,UNDERLYING_MAPPING_FIXED_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
FUT_CFFEX_TF,TF,5年期国债期货,FUTURE,TREASURY_FUTURE,CFFEX,CGB_5Y,5年期国债,5-year China Government Bond,HIGH,EXISTING_UNDERLYING_GROUP,Tushare,ExchangeOfficialWebsite,UNDERLYING_MAPPING_FIXED_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
FUT_CFFEX_TL,TL,30年期国债期货,FUTURE,TREASURY_FUTURE,CFFEX,CGB_30Y,30年期国债,30-year China Government Bond,HIGH,EXISTING_UNDERLYING_GROUP,Tushare,ExchangeOfficialWebsite,UNDERLYING_MAPPING_FIXED_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
FUT_CFFEX_TS,TS,2年期国债期货,FUTURE,TREASURY_FUTURE,CFFEX,CGB_2Y,2年期国债,2-year China Government Bond,HIGH,EXISTING_UNDERLYING_GROUP,Tushare,ExchangeOfficialWebsite,UNDERLYING_MAPPING_FIXED_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
FUT_CZCE_AP,AP,苹果,FUTURE,COMMODITY_FUTURE,CZCE,APPLE,苹果,Apple,HIGH,CONSERVATIVE_SYMBOL_RULE,Tushare,ExchangeOfficialWebsite,UNDERLYING_MAPPING_FIXED_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
FUT_CZCE_CF,CF,郑棉,FUTURE,COMMODITY_FUTURE,CZCE,COTTON,棉花,Cotton,HIGH,EXISTING_UNDERLYING_GROUP,Tushare,ExchangeOfficialWebsite,UNDERLYING_MAPPING_FIXED_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
FUT_CZCE_CJ,CJ,红枣,FUTURE,COMMODITY_FUTURE,CZCE,JUJUBE,红枣,Jujube,HIGH,CONSERVATIVE_SYMBOL_RULE,Tushare,ExchangeOfficialWebsite,UNDERLYING_MAPPING_FIXED_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
FUT_CZCE_CY,CY,棉纱,FUTURE,COMMODITY_FUTURE,CZCE,COTTON_YARN,棉纱,Cotton Yarn,HIGH,CONSERVATIVE_SYMBOL_RULE,Tushare,ExchangeOfficialWebsite,UNDERLYING_MAPPING_FIXED_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
FUT_CZCE_ER,ER,早籼稻,FUTURE,COMMODITY_FUTURE,CZCE,EARLY_INDICA_RICE,早籼稻,Early Indica Rice,HIGH,FUTURE_UNDERLYING_GROUP_PATCH,Tushare,ExchangeOfficialWebsite,UNDERLYING_MAPPING_FIXED_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
FUT_CZCE_FG,FG,玻璃,FUTURE,COMMODITY_FUTURE,CZCE,GLASS,玻璃,Glass,HIGH,CONSERVATIVE_SYMBOL_RULE,Tushare,ExchangeOfficialWebsite,UNDERLYING_MAPPING_FIXED_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
