underlying_group,underlying_name_cn,industry_name,asset_count,preferred_asset_id,preferred_symbol,preferred_name_cn,preferred_asset_type,all_asset_ids,mapping_status
ALUMINA,氧化铝,有色产业链,2,FUT_SHFE_AO,AO,氧化铝,FUTURE,FUT_SHFE_AO;OPT_SHFE_AO,MAPPED
ALUMINUM,铝,有色产业链,2,FUT_SHFE_AL,AL,沪铝,FUTURE,FUT_SHFE_AL;OPT_SHFE_AL,MAPPED
APPLE,苹果,农产品,2,FUT_CZCE_AP,AP,苹果,FUTURE,FUT_CZCE_AP;OPT_CZCE_AP,MAPPED
BENZENE,纯苯,能源化工,2,FUT_DCE_BZ,BZ,纯苯,FUTURE,FUT_DCE_BZ;OPT_DCE_BZ,MAPPED
BITUMEN,沥青,能源化工,2,FUT_SHFE_BU,BU,沥青,FUTURE,FUT_SHFE_BU;OPT_SHFE_BU,MAPPED
BOTTLE_GRADE_PET,瓶片,能源化工,2,FUT_CZCE_PR,PR,瓶片,FUTURE,FUT_CZCE_PR;OPT_CZCE_PR,MAPPED
BUTADIENE_RUBBER,丁二烯橡胶,能源化工,2,FUT_SHFE_BR,BR,丁二烯橡胶,FUTURE,FUT_SHFE_BR;OPT_SHFE_BR,MAPPED
CAST_ALUMINUM_ALLOY,铸造铝合金,有色产业链,2,FUT_SHFE_AD,AD,铸造铝合金,FUTURE,FUT_SHFE_AD;OPT_SHFE_AD,MAPPED
CAUSTIC_SODA,烧碱,能源化工,2,FUT_CZCE_SH,SH,烧碱,FUTURE,FUT_CZCE_SH;OPT_CZCE_SH,MAPPED
COKE,焦炭,黑色产业链,1,FUT_DCE_J,J,焦炭,FUTURE,FUT_DCE_J,MAPPED
COKING_COAL,焦煤,黑色产业链,2,FUT_DCE_JM,JM,焦煤,FUTURE,FUT_DCE_JM;OPT_DCE_JM,MAPPED
COMMON_WHEAT,普麦,农产品,1,FUT_CZCE_PM,PM,普麦,FUTURE,FUT_CZCE_PM,MAPPED
COPPER,铜,有色产业链,4,FUT_INE_BC,BC,国际铜,FUTURE,FUT_INE_BC;FUT_SHFE_CU;OPT_INE_BC;OPT_SHFE_CU,MAPPED
CORN,玉米,农产品,2,FUT_DCE_C,C,玉米,FUTURE,FUT_DCE_C;OPT_DCE_C,MAPPED
CORN_STARCH,玉米淀粉,农产品,2,FUT_DCE_CS,CS,玉米淀粉,FUTURE,FUT_DCE_CS;OPT_DCE_CS,MAPPED
COTTON,棉花,农产品,2,FUT_CZCE_CF,CF,郑棉,FUTURE,FUT_CZCE_CF;OPT_CZCE_CF,MAPPED
COTTON_YARN,棉纱,农产品,1,FUT_CZCE_CY,CY,棉纱,FUTURE,FUT_CZCE_CY,MAPPED
CRUDE_OIL,原油,能源化工,3,FUT_INE_SC,SC,原油,FUTURE,FUT_INE_SC;FUT_INE_SCTAS;OPT_INE_SC,MAPPED
EARLY_INDICA_RICE,早籼稻,农产品,2,FUT_CZCE_ER,ER,早籼稻,FUTURE,FUT_CZCE_ER;FUT_CZCE_RI,MAPPED
EGG,鸡蛋,农产品,2,FUT_DCE_JD,JD,鸡蛋,FUTURE,FUT_DCE_JD;OPT_DCE_JD,MAPPED
ETHYLENE_GLYCOL,乙二醇,能源化工,2,FUT_DCE_EG,EG,乙二醇,FUTURE,FUT_DCE_EG;OPT_DCE_EG,MAPPED
FERROSILICON,硅铁,黑色产业链,2,FUT_CZCE_SF,SF,硅铁,FUTURE,FUT_CZCE_SF;OPT_CZCE_SF,MAPPED
FIBERBOARD,纤维板,建材,1,FUT_DCE_FB,FB,纤维板,FUTURE,FUT_DCE_FB,MAPPED
FUEL_OIL,燃料油,能源化工,2,FUT_SHFE_FU,FU,燃油,FUTURE,FUT_SHFE_FU;OPT_SHFE_FU,MAPPED
GLASS,玻璃,能源化工 / 建材,2,FUT_CZCE_FG,FG,玻璃,FUTURE,FUT_CZCE_FG;OPT_CZCE_FG,MAPPED
