domestic_product_code,domestic_product_name,domestic_exchange_code,domestic_exchange_name,decision,reason,foreign_product_code,foreign_product_name,foreign_exchange_code,foreign_exchange_name,foreign_country,mapping_order,mapping_strength,mapping_note
T,T,CFFEX,中国金融期货交易所,NO_FOREIGN_MAPPING,no_clear_foreign_equivalent,,,,,,,,
TF,TF,CFFEX,中国金融期货交易所,NO_FOREIGN_MAPPING,no_clear_foreign_equivalent,,,,,,,,
TL,TL,CFFEX,中国金融期货交易所,NO_FOREIGN_MAPPING,no_clear_foreign_equivalent,,,,,,,,
TS,TS,CFFEX,中国金融期货交易所,NO_FOREIGN_MAPPING,no_clear_foreign_equivalent,,,,,,,,
AP,苹果,CZCE,郑州商品交易所,NO_FOREIGN_MAPPING,no_clear_foreign_equivalent_or_company_source_not_confirmed,,,,,,,,
CJ,红枣,CZCE,郑州商品交易所,NO_FOREIGN_MAPPING,no_clear_foreign_equivalent_or_company_source_not_confirmed,,,,,,,,
CY,棉纱,CZCE,郑州商品交易所,NO_FOREIGN_MAPPING,no_clear_foreign_equivalent_or_company_source_not_confirmed,,,,,,,,
ER,早籼稻,CZCE,郑州商品交易所,NO_FOREIGN_MAPPING,no_clear_foreign_equivalent_or_company_source_not_confirmed,,,,,,,,
FG,玻璃,CZCE,郑州商品交易所,NO_FOREIGN_MAPPING,no_clear_foreign_equivalent_or_company_source_not_confirmed,,,,,,,,
JR,粳稻,CZCE,郑州商品交易所,NO_FOREIGN_MAPPING,no_clear_foreign_equivalent_or_company_source_not_confirmed,,,,,,,,
LR,晚籼稻,CZCE,郑州商品交易所,NO_FOREIGN_MAPPING,no_clear_foreign_equivalent_or_company_source_not_confirmed,,,,,,,,
MA,甲醇,CZCE,郑州商品交易所,NO_FOREIGN_MAPPING,no_clear_foreign_equivalent_or_company_source_not_confirmed,,,,,,,,
ME,甲醇,CZCE,郑州商品交易所,EXCLUDE_FROM_FINAL,historical_or_special_contract,,,,,,,,
PF,短纤,CZCE,郑州商品交易所,NO_FOREIGN_MAPPING,no_clear_foreign_equivalent_or_company_source_not_confirmed,,,,,,,,
PL,丙烯,CZCE,郑州商品交易所,NO_FOREIGN_MAPPING,no_clear_foreign_equivalent_or_company_source_not_confirmed,,,,,,,,
